File,Class
new_1_1.mat,0.629148313958
new_1_2.mat,0.50462110926
new_1_3.mat,0.140554172997
new_1_4.mat,0.0280728268152
new_1_5.mat,0.640941191513
new_1_6.mat,0.601190971546
new_1_7.mat,nan
new_1_8.mat,0.0752636058582
new_1_9.mat,0.594046677679
new_1_10.mat,0.198532844097
new_1_11.mat,0.27335553279
new_1_12.mat,0.102327440418
new_1_13.mat,nan
new_1_14.mat,0.0920373841545
new_1_15.mat,0.478003301629
new_1_16.mat,0.416820148084
new_1_17.mat,0.16040766683
new_1_18.mat,nan
new_1_19.mat,0.362392058837
new_1_20.mat,nan
new_1_21.mat,0.409649021824
new_1_22.mat,0.556448589165
new_1_23.mat,0.0560473161744
new_1_24.mat,0.528229809003
new_1_25.mat,0.0804424221034
new_1_26.mat,0.621591419631
new_1_27.mat,0.48484395339
new_1_28.mat,0.248363577364
new_1_29.mat,0.528463620691
new_1_30.mat,0.46677635706
new_1_31.mat,0.161277081777
new_1_32.mat,0.083248167258
new_1_33.mat,0.0791276925289
new_1_34.mat,nan
new_1_35.mat,0.465804408011
new_1_36.mat,0.686756013981
new_1_37.mat,0.502015381035
new_1_38.mat,0.339027821275
new_1_39.mat,0.519340737097
new_1_40.mat,0.119505213851
new_1_41.mat,0.110872940351
new_1_42.mat,0.607482361144
new_1_43.mat,0.200290758807
new_1_44.mat,0.567319151366
new_1_45.mat,0.0
new_1_46.mat,0.732543030214
new_1_47.mat,0.521919281088
new_1_48.mat,0.53853625693
new_1_49.mat,0.409477113766
new_1_50.mat,0.613992470713
new_1_51.mat,0.0133879364011
new_1_52.mat,0.5579175306
new_1_53.mat,0.100548613052
new_1_54.mat,0.088274780753
new_1_55.mat,0.610837074931
new_1_56.mat,0.57065481402
new_1_57.mat,0.289196059243
new_1_58.mat,0.044962558233
new_1_59.mat,0.0513966426345
new_1_60.mat,0.134594659269
new_1_61.mat,0.06732480829
new_1_62.mat,0.236060759529
new_1_63.mat,0.170844773776
new_1_64.mat,0.575649589148
new_1_65.mat,0.287625195276
new_1_66.mat,0.589327696613
new_1_67.mat,0.139524871068
new_1_68.mat,0.356666731134
new_1_69.mat,0.0619680605026
new_1_70.mat,0.0746084429563
new_1_71.mat,0.26284409266
new_1_72.mat,nan
new_1_73.mat,0.462014952903
new_1_74.mat,0.467567323508
new_1_75.mat,0.0761064612727
new_1_76.mat,0.560767392171
new_1_77.mat,0.0371628623773
new_1_78.mat,0.341967773869
new_1_79.mat,0.507774277423
new_1_80.mat,0.607129091151
new_1_81.mat,0.0414127159435
new_1_82.mat,0.155005972395
new_1_83.mat,0.588804852563
new_1_84.mat,0.247389468412
new_1_85.mat,0.76492030265
new_1_86.mat,0.740849900123
new_1_87.mat,0.114681762738
new_1_88.mat,0.124779943622
new_1_89.mat,0.111687105962
new_1_90.mat,0.000909843052601
new_1_91.mat,0.383659214889
new_1_92.mat,0.605796629033
new_1_93.mat,0.525988285529
new_1_94.mat,0.553455735303
new_1_95.mat,0.361061054092
new_1_96.mat,0.0861821848994
new_1_97.mat,0.167359764147
new_1_98.mat,nan
new_1_99.mat,0.108557496325
new_1_100.mat,0.519753700901
new_1_101.mat,0.590797190337
new_1_102.mat,0.14133985567
new_1_103.mat,0.0994197995353
new_1_104.mat,0.54445141199
new_1_105.mat,0.530561743338
new_1_106.mat,0.0838328112056
new_1_107.mat,0.272939125264
new_1_108.mat,0.442794232163
new_1_109.mat,0.542514119079
new_1_110.mat,0.0261650256936
new_1_111.mat,0.585389036742
new_1_112.mat,0.0546323082428
new_1_113.mat,0.647683528125
new_1_114.mat,0.0556770650356
new_1_115.mat,0.121358258752
new_1_116.mat,0.0643113300694
new_1_117.mat,0.493793202032
new_1_118.mat,0.0
new_1_119.mat,0.542121840615
new_1_120.mat,0.56360477542
new_1_121.mat,0.446799315867
new_1_122.mat,0.699619629135
new_1_123.mat,0.248197373723
new_1_124.mat,0.216724221824
